time,frequency,confidence
2.430,43.672,0.915439
2.440,43.718,0.929440
2.450,43.711,0.885953
2.460,43.551,0.754904
2.470,221.163,0.321827
2.480,219.399,0.469249
2.490,217.674,0.215246
2.500,175.082,0.171513
2.510,175.747,0.341867
2.520,175.945,0.434097
2.530,175.098,0.414515
2.540,175.205,0.332439
2.550,880.528,0.279362
2.560,882.886,0.297814
2.570,884.257,0.180431
2.580,884.497,0.389148
2.590,884.532,0.492078
2.600,884.630,0.351367
2.610,175.421,0.303801
2.620,43.813,0.376468
2.630,43.752,0.387765
2.640,175.610,0.326409
2.650,175.808,0.410366
2.660,43.677,0.582363
2.670,174.710,0.304560
2.680,43.517,0.233112
2.690,133.377,0.208113
2.700,134.136,0.220918
2.710,133.198,0.197219
2.720,174.488,0.209748
2.730,218.319,0.192844
2.740,132.617,0.182458
2.750,132.945,0.262903
2.760,132.644,0.204662
2.770,132.971,0.304704
2.780,219.255,0.195467
2.790,218.034,0.216781
2.800,218.450,0.280297
2.810,441.110,0.360818
2.820,217.390,0.224413
2.830,438.739,0.330865
2.840,438.177,0.406263
2.850,442.205,0.557411
2.860,442.842,0.422628
2.870,43.442,0.247188
2.880,440.947,0.483332
2.890,440.921,0.334092
2.900,441.587,0.439839
2.910,442.268,0.324110
2.920,442.271,0.429941
2.930,441.822,0.405874
2.940,43.488,0.293294
2.950,440.022,0.381145
2.960,218.394,0.386242
2.970,440.853,0.464931
2.980,218.273,0.428736
2.990,440.623,0.518532
3.000,438.866,0.433298
3.010,440.578,0.449977
3.020,441.255,0.375682
3.030,440.801,0.402304
3.040,218.344,0.415453
3.050,218.011,0.481212
3.060,440.283,0.377488
3.070,218.094,0.488364
3.080,217.934,0.310150
3.090,217.556,0.391809
3.100,217.913,0.349258
3.110,218.525,0.308278
3.120,43.532,0.398095
3.130,217.234,0.228441
3.140,43.504,0.437936
3.150,217.432,0.235158
3.160,217.546,0.262256
3.170,43.406,0.394928
3.180,87.465,0.259825
3.190,218.137,0.199734
3.200,217.585,0.259144
3.210,43.536,0.385284
3.220,43.334,0.447574
3.230,217.368,0.205837
3.240,43.485,0.268281
3.250,216.460,0.206277
3.260,43.530,0.235423
3.270,43.403,0.200067
3.280,43.438,0.318850
3.290,43.552,0.604570
3.300,43.663,0.719335
3.310,43.745,0.630255
3.320,43.676,0.775871
3.330,43.562,0.813281
3.340,43.567,0.721076
3.350,43.597,0.678937
3.360,43.676,0.794891
3.370,43.648,0.792714
3.380,43.582,0.761166
3.390,43.475,0.696508
3.400,43.453,0.553442
3.410,43.511,0.520454
3.420,43.716,0.716105
3.430,43.715,0.767045
3.440,43.688,0.777422
3.450,43.543,0.842467
3.460,43.481,0.706043
3.470,43.563,0.808831
3.480,43.445,0.810159
3.490,43.545,0.902855
3.500,43.462,0.893064
3.510,43.460,0.887664
3.520,43.588,0.853990
3.530,43.633,0.770898
3.540,43.671,0.773717
3.550,43.564,0.824141
3.560,43.572,0.869581
3.570,43.457,0.728299
3.580,43.505,0.787869
3.590,43.665,0.582625
3.600,43.685,0.824139
3.610,43.626,0.778680
3.620,43.553,0.879331
3.630,43.665,0.891995
3.640,43.503,0.671785
3.650,43.544,0.662230
3.660,43.601,0.745705
3.670,43.693,0.879832
3.680,43.679,0.911257
3.690,43.533,0.799768
3.700,43.573,0.853924
3.710,43.518,0.876694
3.720,43.660,0.874536
3.730,43.662,0.905731
3.740,43.640,0.901253
3.750,43.729,0.828216
3.760,43.587,0.658720
3.770,43.571,0.686838
3.780,43.589,0.785991
3.790,43.569,0.572461
3.800,43.500,0.760308
3.810,43.575,0.879516
3.820,43.722,0.899215
3.830,43.651,0.901661
3.840,43.575,0.833171
3.850,43.669,0.902651
3.860,43.756,0.880296
3.870,43.637,0.903498
3.880,43.643,0.895010
3.890,43.715,0.855103
3.900,43.706,0.830745
3.910,43.697,0.792746
3.920,43.724,0.893360
3.930,43.712,0.854243
3.940,43.720,0.880384
3.950,43.759,0.872423
3.960,43.756,0.854824
3.970,43.784,0.882403
3.980,43.574,0.852988
3.990,43.407,0.820943
4.000,43.665,0.754586
4.010,43.596,0.463405
4.020,43.290,0.129291
4.030,396.092,0.138493
4.040,131.249,0.256888
4.050,262.390,0.347692
4.060,262.914,0.517028
4.070,396.164,0.490328
4.080,397.671,0.545386
4.090,398.320,0.676664
4.100,398.495,0.694223
4.110,397.810,0.613779
4.120,397.114,0.576384
4.130,397.055,0.657576
4.140,396.252,0.713834
4.150,396.590,0.748901
4.160,396.406,0.693962
4.170,396.247,0.774677
4.180,396.313,0.792966
4.190,396.636,0.744287
4.200,396.146,0.772051
4.210,396.061,0.786101
4.220,396.268,0.805532
4.230,395.910,0.723199
4.240,395.542,0.707266
4.250,395.789,0.786311
4.260,395.473,0.821956
4.270,395.879,0.788443
4.280,395.848,0.797213
4.290,395.790,0.829404
4.300,396.782,0.840883
4.310,396.612,0.808983
4.320,396.256,0.775148
4.330,395.711,0.786442
4.340,394.912,0.771421
4.350,395.658,0.658723
4.360,396.137,0.739267
4.370,395.127,0.820407
4.380,395.036,0.804426
4.390,395.216,0.798610
4.400,395.882,0.784261
4.410,395.838,0.744492
4.420,397.463,0.366202
4.430,703.158,0.509461
4.440,351.058,0.885850
4.450,350.888,0.917034
4.460,350.830,0.919464
4.470,350.943,0.944358
4.480,350.972,0.948846
4.490,351.503,0.930014
4.500,352.027,0.914413
4.510,352.209,0.881348
4.520,352.938,0.869407
4.530,352.672,0.866693
4.540,352.946,0.856149
4.550,353.123,0.863101
4.560,352.316,0.847795
4.570,353.852,0.836715
4.580,353.090,0.793995
4.590,353.417,0.733020
4.600,352.241,0.774871
4.610,351.656,0.839131
4.620,351.667,0.846099
4.630,352.165,0.853164
4.640,351.878,0.866213
4.650,352.963,0.806131
4.660,352.456,0.795728
4.670,352.096,0.880563
4.680,351.905,0.864598
4.690,351.860,0.814144
4.700,352.187,0.820662
4.710,352.013,0.843405
4.720,351.638,0.812339
4.730,351.670,0.823030
4.740,351.552,0.805374
4.750,351.901,0.797152
4.760,351.701,0.806923
4.770,351.794,0.788588
4.780,352.796,0.751262
4.790,348.873,0.527588
4.800,332.670,0.551387
4.810,332.905,0.794508
4.820,332.791,0.883496
4.830,332.169,0.877472
4.840,331.665,0.868204
4.850,332.899,0.880104
4.860,332.907,0.891402
4.870,333.087,0.903667
4.880,332.898,0.880593
4.890,332.602,0.818676
4.900,333.177,0.808635
4.910,334.230,0.881626
4.920,333.883,0.895006
4.930,332.855,0.892793
4.940,333.177,0.836866
4.950,334.015,0.831205
4.960,334.945,0.877480
4.970,333.213,0.916731
4.980,332.281,0.849066
4.990,332.501,0.781694
5.000,332.702,0.784585
5.010,334.131,0.823672
5.020,333.756,0.860282
5.030,332.144,0.848432
5.040,333.460,0.726693
5.050,332.615,0.770655
5.060,334.905,0.796947
5.070,334.238,0.806033
5.080,331.365,0.833903
5.090,332.595,0.785145
5.100,332.431,0.764825
5.110,334.158,0.731763
5.120,332.395,0.781547
5.130,331.190,0.821825
5.140,331.819,0.723186
5.150,332.410,0.740139
5.160,333.570,0.777382
5.170,331.553,0.411894
5.180,327.342,0.489384
5.190,322.563,0.216424
5.200,303.919,0.162130
5.210,235.796,0.350421
5.220,235.312,0.365453
5.230,234.002,0.439281
5.240,295.677,0.314412
5.250,295.462,0.326156
5.260,296.646,0.397838
5.270,234.156,0.292959
5.280,295.327,0.337917
5.290,294.943,0.302074
5.300,294.362,0.286847
5.310,233.711,0.334679
5.320,295.047,0.320855
5.330,233.086,0.289200
5.340,295.510,0.454157
5.350,296.034,0.536483
5.360,297.603,0.642513
5.370,297.520,0.674991
5.380,295.766,0.470986
5.390,296.294,0.696142
5.400,297.248,0.762181
5.410,296.924,0.699859
5.420,296.332,0.814974
5.430,297.090,0.830328
5.440,296.428,0.819542
5.450,296.741,0.818667
5.460,296.469,0.831969
5.470,296.089,0.801286
5.480,296.823,0.809723
5.490,296.414,0.756880
5.500,296.019,0.781286
5.510,296.308,0.794358
5.520,295.793,0.806462
5.530,295.116,0.849726
5.540,295.244,0.755628
5.550,295.606,0.785887
5.560,296.282,0.793978
5.570,296.135,0.871852
5.580,296.615,0.861785
5.590,296.276,0.819417
5.600,295.590,0.855206
5.610,295.383,0.866595
5.620,295.499,0.861747
5.630,295.568,0.865970
5.640,295.273,0.881326
5.650,295.453,0.844236
5.660,295.541,0.811547
5.670,295.312,0.823214
5.680,295.677,0.825818
5.690,296.370,0.844930
5.700,296.201,0.832816
5.710,295.871,0.835992
5.720,295.536,0.871004
5.730,295.330,0.873144
5.740,295.762,0.866015
5.750,296.176,0.817358
5.760,295.719,0.799788
5.770,296.173,0.772927
5.780,295.033,0.795351
5.790,295.359,0.800211
5.800,295.417,0.789717
5.810,295.036,0.715215
5.820,294.818,0.696699
5.830,294.406,0.769141
5.840,294.014,0.795935
5.850,294.638,0.814872
5.860,295.113,0.795809
5.870,294.882,0.786404
5.880,295.397,0.781986
5.890,295.712,0.801760
5.900,295.170,0.772001
5.910,294.827,0.799330
5.920,293.942,0.712898
5.930,294.750,0.657883
5.940,295.328,0.741122
5.950,295.091,0.790040
5.960,294.122,0.636800
5.970,287.961,0.195262
5.980,238.148,0.475473
5.990,235.477,0.758201
6.000,235.144,0.886968
6.010,234.633,0.935144
6.020,234.223,0.940676
6.030,234.316,0.934656
6.040,234.519,0.935860
6.050,234.492,0.933018
6.060,234.422,0.914847
6.070,234.690,0.912489
6.080,234.827,0.898260
6.090,234.757,0.900179
6.100,234.918,0.910225
6.110,235.043,0.887371
6.120,234.939,0.902899
6.130,234.491,0.925253
6.140,234.451,0.927458
6.150,234.206,0.932703
6.160,234.315,0.931439
6.170,234.339,0.932865
6.180,234.147,0.930082
6.190,234.393,0.939694
6.200,234.737,0.932487
6.210,234.629,0.930520
6.220,234.801,0.923058
6.230,235.068,0.910533
6.240,235.075,0.907243
6.250,234.822,0.909670
6.260,234.853,0.927490
6.270,234.481,0.932478
6.280,234.143,0.930343
6.290,234.111,0.932317
6.300,234.063,0.933756
6.310,233.846,0.931553
6.320,234.298,0.926290
6.330,234.155,0.929196
6.340,234.198,0.935212
6.350,234.248,0.934123
6.360,233.902,0.926799
6.370,235.177,0.892637
6.380,237.460,0.672912
6.390,237.496,0.374297
6.400,264.267,0.550837
6.410,263.808,0.675313
6.420,265.409,0.665683
6.430,265.274,0.717284
6.440,263.659,0.705704
6.450,263.288,0.667968
6.460,263.476,0.640606
6.470,262.707,0.670104
6.480,261.743,0.585211
6.490,263.090,0.613410
6.500,263.451,0.586875
6.510,263.116,0.550436
6.520,263.804,0.701694
6.530,264.346,0.600860
6.540,263.278,0.593144
6.550,262.740,0.448646
6.560,263.997,0.428179
6.570,264.062,0.528956
6.580,262.772,0.439436
6.590,233.814,0.470168
6.600,232.598,0.440853
6.610,235.180,0.460247
6.620,234.655,0.397546
6.630,233.247,0.415095
6.640,263.432,0.459301
6.650,263.292,0.520543
6.660,233.306,0.385905
6.670,233.895,0.382367
6.680,263.287,0.433890
6.690,232.939,0.504695
6.700,233.488,0.521406
6.710,234.315,0.537511
6.720,233.908,0.644270
6.730,234.236,0.610698
6.740,234.099,0.626642
6.750,235.553,0.263227
6.760,342.806,0.486633
6.770,347.684,0.724166
6.780,350.089,0.852332
6.790,350.161,0.885792
6.800,350.744,0.879353
6.810,350.891,0.902382
6.820,350.786,0.904301
6.830,350.983,0.911235
6.840,351.029,0.880299
6.850,350.524,0.857791
6.860,350.555,0.894885
6.870,350.942,0.888680
6.880,350.900,0.902409
6.890,350.915,0.893261
6.900,350.896,0.891691
6.910,350.920,0.904729
6.920,351.083,0.906877
6.930,351.157,0.917208
6.940,350.947,0.904505
6.950,350.747,0.911884
6.960,350.903,0.914266
6.970,351.162,0.901570
6.980,351.254,0.904573
6.990,350.936,0.900769
7.000,351.001,0.917881
7.010,350.708,0.914722
7.020,350.709,0.920081
7.030,350.932,0.912207
7.040,351.148,0.919866
7.050,351.474,0.890046
7.060,351.502,0.891729
7.070,351.913,0.878882
7.080,351.426,0.876737
7.090,351.528,0.875369
7.100,351.024,0.866549
7.110,350.261,0.903198
7.120,350.231,0.918401
7.130,350.372,0.916966
7.140,350.933,0.881309
7.150,350.694,0.304834
7.160,351.360,0.306180
7.170,238.496,0.357993
7.180,235.433,0.393047
7.190,233.320,0.296594
7.200,232.936,0.410327
7.210,234.025,0.343276
7.220,348.973,0.259890
7.230,78.373,0.344386
7.240,78.381,0.225716
7.250,78.535,0.310342
7.260,233.701,0.319378
7.270,350.533,0.256133
7.280,350.004,0.423065
7.290,350.232,0.427260
7.300,348.782,0.231205
7.310,349.778,0.362000
7.320,350.487,0.484251
7.330,349.370,0.413504
7.340,349.149,0.469842
7.350,349.696,0.405816
7.360,349.393,0.533875
7.370,350.144,0.393001
7.380,78.563,0.413304
7.390,78.242,0.388284
7.400,349.977,0.375726
7.410,349.382,0.378930
7.420,349.887,0.427959
7.430,78.439,0.319670
7.440,78.546,0.397553
7.450,78.488,0.334462
7.460,78.406,0.474971
7.470,349.727,0.324765
7.480,78.494,0.544889
7.490,78.479,0.337598
7.500,78.503,0.371130
7.510,78.487,0.377795
7.520,78.498,0.324593
7.530,349.054,0.300156
7.540,78.344,0.292432
7.550,116.947,0.735142
7.560,117.310,0.835931
7.570,116.898,0.785925
7.580,116.842,0.828837
7.590,116.951,0.850829
7.600,116.608,0.766727
7.610,116.992,0.684507
7.620,39.022,0.596353
7.630,38.976,0.622755
7.640,117.334,0.550544
7.650,116.894,0.640741
7.660,116.819,0.754783
7.670,117.026,0.563473
7.680,117.132,0.674594
7.690,117.282,0.734035
7.700,117.357,0.840767
7.710,117.284,0.844671
7.720,117.123,0.819535
7.730,117.221,0.839388
7.740,117.383,0.835747
7.750,117.410,0.826265
7.760,117.723,0.866585
7.770,117.472,0.859569
7.780,117.329,0.809877
7.790,117.099,0.871353
7.800,117.078,0.831834
7.810,117.009,0.872452
7.820,116.893,0.842358
7.830,116.875,0.858275
7.840,117.453,0.867609
7.850,117.168,0.847687
7.860,116.897,0.873719
7.870,117.019,0.882811
7.880,116.782,0.866295
7.890,116.791,0.839065
7.900,116.898,0.808794
7.910,117.022,0.705359
7.920,117.087,0.697869
7.930,116.628,0.535211
7.940,116.875,0.757197
7.950,117.190,0.834149
7.960,116.526,0.845254
7.970,116.582,0.838637
7.980,116.987,0.876550
7.990,116.834,0.871737
8.000,116.619,0.875996
8.010,116.950,0.875914
8.020,116.945,0.883420
8.030,116.907,0.868988
8.040,116.787,0.870952
8.050,117.006,0.863648
8.060,117.129,0.846328
8.070,116.869,0.843156
8.080,117.040,0.861987
8.090,117.168,0.875676
8.100,117.050,0.880877
